Time Percentage,Total Time,Num Calls,Avg,Med,Min,Max,StdDev,Name,
98.7,64384947286,200002,321921.5,367576.0,77147,732868,72667.9,cudaDeviceSynchronize,
1.2,762839561,200002,3814.2,3675.0,3270,1155159,5145.5,cudaLaunchKernel,
0.1,67209822,3,22403274.0,356468.0,83311,66770043,38422991.8,cudaMalloc,
0.0,5962123,1,5962123.0,5962123.0,5962123,5962123,0.0,cudaMemcpy,
0.0,1194703,3,398234.3,204811.0,169181,820711,366309.0,cudaFree,
0.0,20415,2,10207.5,10207.5,7922,12493,3232.2,cudaEventRecord,
0.0,14040,2,7020.0,7020.0,902,13138,8652.2,cudaEventCreate,
0.0,5699,2,2849.5,2849.5,916,4783,2734.4,cudaEventDestroy,
0.0,2602,1,2602.0,2602.0,2602,2602,0.0,cudaEventSynchronize,
0.0,1627,1,1627.0,1627.0,1627,1627,0.0,cuModuleGetLoadingMode